date,factor,ic,rank_ic,n
2024-01-24,mom_20,-0.11928154101809726,-0.23972125435540073,41
2024-01-24,mom_60,-0.22250641018887135,-0.17578397212543556,41
2024-01-24,roe,0.005350441525137219,0.019136960600375237,40
2024-01-25,bp,-0.11366475295392046,-0.2509027245869351,38
2024-01-25,ep,-0.0989809030111595,-0.21356275303643726,39
2024-01-25,mom_20,-0.1779094078088613,-0.03675958188153311,41
2024-01-25,mom_60,-0.28451537466702215,-0.15679442508710806,41
2024-01-25,roe,-0.007302175734714068,0.13883677298311448,40
2024-01-26,bp,-0.13254918655610393,-0.16774264142685194,38
2024-01-26,ep,-0.23181496585504496,-0.25971659919028345,39
2024-01-26,mom_20,0.19777319184902337,0.20679442508710807,41
2024-01-26,mom_60,0.10208489424966395,0.05034843205574915,41
2024-01-26,roe,-0.13750079121699973,-0.1028142589118199,40
2024-01-29,bp,-0.19850142746089275,-0.2073531020899442,38
2024-01-29,ep,-0.18416835407104287,-0.14838056680161943,39
2024-01-29,mom_20,0.43272568259529576,0.37874564459930316,41
2024-01-29,mom_60,0.2263955110914187,0.14059233449477354,41
2024-01-29,roe,-0.048109119361776184,0.11838649155722329,40
2024-01-30,bp,-0.3770965649662836,-0.35594704015756645,38
2024-01-30,ep,-0.25690677468385176,-0.16781376518218624,39
2024-01-30,mom_20,0.3973148361994341,0.2837979094076655,41
2024-01-30,mom_60,0.12403920725564838,0.013414634146341465,41
2024-01-30,roe,0.006488800244362666,0.2679174484052533,40
2024-01-31,bp,-0.43482573127448315,-0.4040923514607725,38
2024-01-31,ep,-0.39006455286862274,-0.40890688259109315,39
2024-01-31,mom_20,0.4616216757825521,0.5283972125435541,41
2024-01-31,mom_60,0.25665845715945973,0.2252613240418119,41
2024-01-31,roe,-0.017656385303295528,0.17392120075046907,40
2024-02-01,bp,-0.28608660327838886,-0.30079877448298503,38
2024-02-01,ep,-0.16907653298259984,-0.1404858299595142,39
2024-02-01,mom_20,0.3107700240770411,0.20940766550522652,41
