date,portfolio_return,benchmark_return,turnover,cost,nav
2023-06-28,0.00012712472209330274,0.0005045357510484738,0.0,0.0,2.0161205340194663
2023-06-29,0.007002716116111536,0.003941286159921287,0.0,0.0,2.0302388537750677
2023-06-30,0.013360545628900137,0.011800662201555179,0.0,0.0,2.0573639526184953
2023-07-03,0.006614432338995236,0.0011505508880702564,0.5,0.0005,2.070972247279778
2023-07-05,-9.26111245753703e-05,-0.0014873333887229778,0.0,0.0,2.0707804522109927
2023-07-06,-0.015243425712191543,-0.007830630503188107,0.0,0.0,2.039214664221456
2023-07-07,7.081835981911943e-05,-0.0025246444057290818,0.0,0.0,2.039359078059295
2023-07-10,0.006548044388179753,0.002531034367485585,0.0,0.0,2.052712891825865
2023-07-11,0.008248524002981632,0.006368491150018585,0.0,0.0,2.0696447433853202
2023-07-12,0.010952673371465884,0.008045932524536559,0.0,0.0,2.092312886254591
2023-07-13,0.008108651373943131,0.007936941965867028,0.0,0.0,2.1092787220144387
2023-07-14,-0.00307558904264591,-0.0006227614568499185,0.0,0.0,2.1027914474891247
2023-07-17,0.010947183584201515,0.0034721545832785417,0.0,0.0,2.125811091504077
2023-07-18,0.016421942627047086,0.007430615329347967,0.0,0.0,2.1607210392846974
2023-07-19,0.004392382028437248,0.0022237059604863774,0.0,0.0,2.170211751546118
2023-07-20,-0.009417614672704662,-0.00663438251280557,0.0,0.0,2.149773533511881
2023-07-21,-0.006623900990093651,0.0,0.0,0.0,2.1355336464747743
2023-07-24,0.00812334198968841,0.004467250989869331,0.0,0.0,2.1528813166155754
2023-07-25,-0.0004411284121497828,0.0027299378195515533,0.0,0.0,2.15193161949883
2023-07-26,-0.0007255025726567277,0.00015380172259327196,0.0,0.0,2.150370387572702
2023-07-27,-0.005848407095281378,-0.00662993657434896,0.0,0.0,2.1377941461405388
2023-07-28,0.012161224740480666,0.009790244556760364,0.0,0.0,2.163792341200638
2023-07-31,0.006435489707010639,0.0019040893804560532,0.0,0.0,2.177717404540543
2023-08-01,0.0018044128217792404,-0.0028615418465900433,0.4,0.0004,2.1816469057475083
2023-08-02,-0.01769721772565081,-0.013910771637134278,0.0,0.0,2.1430378254560023
2023-08-03,-0.0034961825702144963,-0.0028658759659494493,0.0,0.0,2.1355453739633328
2023-08-04,-0.003595661834667413,-0.004522878899602456,0.0,0.0,2.127866674965972
2023-08-07,0.009800762625428606,0.008728550048778372,0.0,0.0,2.1487213911458736
